earn,height,sex,ed,age,race
50000,74.42443878,male,16,45,white
60000,65.53754283,female,16,58,white
30000,63.62919774,female,16,29,white
50000,63.10856168,female,16,91,other
51000,63.40248357,female,17,39,white
9000,64.39950754,female,15,26,white
29000,61.65632583,female,12,49,white
32000,72.69854374,male,17,46,white
2000,72.03946685,male,15,21,hispanic
27000,72.23493256,male,12,26,white
6530,69.51214643,male,16,65,white
30000,68.03160826,male,11,34,white
12000,67.55693392,male,12,27,white
12000,65.43058708,female,12,51,white
22000,65.66285452,female,16,35,white
17000,67.75876874,male,12,58,white
40000,68.35184258,female,14,29,white
44000,69.6095718,male,13,44,white
7000,64.18456568,female,12,55,black
53000,73.07460915,male,13,35,black
5000,62.37552702,female,13,51,white
14000,63.02393011,female,14,21,white
5500,67.22990391,male,14,22,white
40000,65.5511078,female,12,41,white
34000,72.07964539,male,12,45,white
10000,63.09113008,female,12,35,black
27000,64.32354892,female,16,60,white
50000,71.64285283,male,16,38,white
41000,76.79309468,male,16,33,white
15000,63.89391433,female,14,25,white
25000,63.80262307,female,12,33,white
75000,71.59223144,male,17,39,white
27000,67.52196348,male,17,31,white
12000,64.39435148,female,12,26,white
7500,61.17822266,female,14,78,white
30000,66.9838783,female,14,31,black
21000,65.31645577,female,12,57,white
27000,63.57418515,female,14,26,white
3000,66.61100048,female,15,65,white
25000,64.91175508,female,12,30,white
24000,64.78967998,female,12,41,white
32000,66.93769065,female,18,29,white
10000,68.17281295,female,17,30,white
11000,60.45065992,female,12,21,hispanic
18700,64.79325356,female,13,32,white
20000,61.814919,female,12,29,white
3500,71.57214531,male,10,18,white
13000,67.31440583,male,8,56,black
25000,69.89987336,male,12,65,white
21000,69.76170202,male,17,41,white
34000,67.74647103,female,17,49,white
6000,60.19022153,female,12,65,white
17000,71.00649988,male,12,28,white
35000,71.16679813,male,12,32,white
4000,72.73562987,male,13,18,white
14000,68.13822311,female,14,55,white
10000,66.37981124,female,12,57,white
25000,69.23278453,male,16,29,white
16000,63.2739378,female,14,27,white
16000,61.82776272,male,14,28,hispanic
16500,64.22120921,female,14,43,white
4000,63.84126511,female,9,68,white
3840,66.97477013,female,9,52,white
22000,71.45148909,male,12,39,white
200,59.61264626,female,16,53,white
26000,65.79938553,female,16,27,white
2500,66.45804053,female,15,21,white
17000,64.60288039,female,14,39,white
8000,70.44048147,female,13,22,white
12000,65.92281351,female,13,68,white
10000,61.85682685,female,12,47,white
10000,65.78444016,female,15,67,white
15000,71.83127984,male,12,39,white
2400,67.04532929,female,8,39,hispanic
30000,68.30550608,male,12,32,hispanic
30000,70.02545976,male,12,33,white
10000,61.81038588,female,12,38,white
5000,62.951071,female,13,26,white
12000,65.82113696,female,13,63,white
20000,70.39754819,female,10,61,white
20000,68.37778444,female,12,36,white
20000,69.93269988,male,14,23,white
1200,66.17180593,female,12,20,white
700,68.4563631,female,16,32,white
20000,69.90385751,male,16,27,white
10000,61.14965798,female,12,22,hispanic
30000,63.36334633,female,12,73,white
40000,64.1470838,female,14,56,white
25000,67.31839041,male,12,89,white
10000,60.67493605,female,17,79,white
60000,68.84090254,female,18,63,white
18000,67.68273051,female,12,66,white
16040,64.49676858,female,12,33,white
15000,66.81240419,female,14,30,black
10000,68.74643775,male,17,23,white
33000,67.06764906,female,13,43,white
18000,68.13799301,female,12,30,white
15000,63.34289679,female,12,37,white
21000,71.38666631,male,12,22,white
21000,63.98833702,female,17,43,black
37000,68.48638652,male,11,37,white
38000,67.5161435,female,17,44,white
17000,65.60084375,female,14,43,hispanic
32000,76.80019394,male,16,30,white
27500,67.10538079,female,12,58,white
16500,62.15164343,female,12,44,white
25000,66.86762426,female,18,35,white
27000,61.04220253,female,18,43,white
5000,64.12328577,female,12,28,white
70000,61.54481517,female,16,38,white
5000,62.55623639,female,12,40,white
5000,68.16376557,male,16,24,white
20000,63.65512749,female,15,26,white
4000,72.37351729,male,15,21,white
60000,64.14708239,female,16,35,white
5000,61.32669975,female,13,31,white
30000,74.36639644,male,12,38,white
70000,70.21016202,male,14,35,white
50000,71.10618803,male,16,41,white
44000,62.59484404,female,12,39,white
30000,64.05496477,female,14,43,white
10000,61.57361885,female,16,40,white
23000,70.48019939,female,17,42,white
45000,71.18590697,male,17,62,white
15000,71.43363842,male,14,31,white
4000,70.22884859,female,14,71,white
17000,67.28085804,male,14,31,white
30000,63.7586912,female,12,32,white
27500,67.08651561,female,12,30,white
5688,61.67959788,female,8,69,white
18000,62.28599832,female,13,56,hispanic
43000,68.29247687,male,13,44,black
32000,61.58948255,female,14,44,black
10000,68.41773519,female,18,56,black
60000,73.99125513,male,13,45,white
21000,67.56107232,female,12,50,other
2400,62.33792965,female,16,22,white
1000,66.2400089,female,15,28,white
27000,68.09847275,male,12,27,white
6600,59.77086973,female,14,28,hispanic
16000,68.06338056,male,8,43,white
90000,71.68014805,male,12,26,white
8000,66.35970835,female,12,42,white
20000,68.35625823,male,10,32,white
15000,68.45654248,female,12,18,white
12000,68.78610429,female,12,60,white
24000,64.10224266,female,16,46,white
20000,65.11348548,female,14,39,white
19000,60.64918584,female,12,46,white
10000,72.12570299,male,12,49,white
40000,65.51073007,female,16,34,white
25000,67.93189831,male,14,64,white
25000,70.44492324,male,12,24,white
25000,71.36585446,male,14,32,white
19000,71.12507331,male,16,61,white
44000,68.16013681,male,16,48,white
15000,60.11332769,female,14,49,white
17000,62.78819755,female,12,36,white
24000,68.07772188,male,12,56,white
23000,64.05084212,female,12,37,white
13000,69.71579638,male,12,74,white
65000,68.22067254,male,16,46,white
7000,60.8838595,female,12,63,white
40000,68.4075397,male,18,63,white
15000,66.00197998,female,17,43,white
20000,69.79788991,male,16,25,white
20000,71.01071134,male,12,50,white
20000,65.14241075,female,12,42,white
25000,65.96710882,female,12,49,white
49000,69.9905326,male,13,37,white
25000,61.8766772,female,12,65,white
